V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26
5515	0	10	11	11	0.909090909090909	8	9	9	0.888888888888889	8	9	9	0.888888888888889	7	7	7	1	8	9	9	0.888888888888889	10	10	10	1
5570	1	9	10	10	0.9	9	10	10	0.9	11	11	11	1	11	11	11	1	4	4	4	1	9	10	10	0.9
5711	1	12	12	12	1	8	10	10	0.8	8	9	9	0.888888888888889	11	11	11	1	10	12	12	0.833333333333333	6	7	7	0.857142857142857
5799	0	5	6	6	0.833333333333333	8	10	10	0.8	12	12	12	1	12	13	13	0.923076923076923	9	9	9	1	4	5	5	0.8
5893	1	14	14	14	1	10	10	10	1	4	4	4	1	8	8	8	1	10	11	11	0.909090909090909	14	15	15	0.933333333333333
5903	1	15	15	15	1	3	3	3	1	7	7	7	1	5	7	7	0.714285714285714	8	9	9	0.888888888888889	15	16	16	0.9375
5913	0	9	10	10	0.9	6	6	6	1	7	7	7	1	10	11	11	0.909090909090909	5	7	7	0.714285714285714	6	6	6	1
5942	0	4	6	6	0.666666666666667	8	9	9	0.888888888888889	11	13	13	0.846153846153846	9	9	9	1	9	10	10	0.9	6	7	7	0.857142857142857
5943	0	12	14	14	0.857142857142857	8	9	9	0.888888888888889	11	11	11	1	4	5	5	0.8	9	9	9	1	8	8	8	1
5944	0	9	10	10	0.9	7	8	8	0.875	6	8	8	0.75	8	8	8	1	9	10	10	0.9	13	14	14	0.928571428571429
5954	0	6	6	6	1	9	9	9	1	12	12	12	1	10	10	10	1	14	14	14	1	16	16	16	1
5955	1	8	13	13	0.615384615384615	9	10	10	0.9	4	5	5	0.8	5	5	5	1	7	7	7	1	9	10	10	0.9
6344	1	13	14	14	0.928571428571429	8	10	10	0.8	6	8	8	0.75	13	13	13	1	13	13	13	1	11	12	12	0.916666666666667
6356	0	12	12	12	1	13	14	14	0.928571428571429	10	11	11	0.909090909090909	3	3	3	1	9	9	9	1	7	7	7	1
6359	0	9	10	10	0.9	9	9	9	1	7	7	7	1	8	11	11	0.727272727272727	10	11	11	0.909090909090909	8	10	10	0.8
6361	0	16	19	19	0.842105263157895	13	13	13	1	7	7	7	1	15	15	15	1	9	10	10	0.9	8	9	9	0.888888888888889
6371	1	6	8	8	0.75	11	14	14	0.785714285714286	10	10	10	1	10	10	10	1	9	10	10	0.9	6	8	8	0.75
8100	0	8	10	10	0.8	11	11	11	1	8	8	8	1	11	11	11	1	8	8	8	1	10	11	11	0.909090909090909
8158	1	8	8	8	1	10	10	10	1	7	7	7	1	4	4	4	1	12	13	13	0.923076923076923	14	16	16	0.875
8160	1	13	13	13	1	18	19	19	0.947368421052632	11	12	12	0.916666666666667	8	8	8	1	7	8	8	0.875	9	11	11	0.818181818181818
8194	1	10	10	10	1	7	7	7	1	7	7	7	1	8	11	11	0.727272727272727	6	6	6	1	12	14	14	0.857142857142857
8200	0	8	8	8	1	8	8	8	1	6	7	7	0.857142857142857	7	7	7	1	10	10	10	1	10	10	10	1
8209	0	12	13	13	0.923076923076923	15	15	15	1	10	11	11	0.909090909090909	8	8	8	1	7	7	7	1	13	13	13	1
8216	1	6	6	6	1	8	10	10	0.8	8	8	8	1	11	11	11	1	7	9	9	0.777777777777778	11	11	11	1
8753	0	4	4	4	1	15	15	15	1	5	7	7	0.714285714285714	5	5	5	1	7	9	9	0.777777777777778	7	7	7	1
8979	0	11	12	12	0.916666666666667	6	7	7	0.857142857142857	4	5	5	0.8	14	14	14	1	12	12	12	1	8	8	8	1
8997	0	8	9	9	0.888888888888889	8	8	8	1	10	10	10	1	15	17	17	0.882352941176471	9	10	10	0.9	8	10	10	0.8
9030	1	9	9	9	1	8	8	8	1	6	7	7	0.857142857142857	12	13	13	0.923076923076923	14	14	14	1	6	7	7	0.857142857142857
9617	0	8	8	8	1	11	12	12	0.916666666666667	7	7	7	1	9	9	9	1	12	13	13	0.923076923076923	12	12	12	1
9758	0	5	6	6	0.833333333333333	7	7	7	1	9	9	9	1	12	14	14	0.857142857142857	8	8	8	1	9	9	9	1
9972	0	14	14	14	1	8	9	9	0.888888888888889	6	7	7	0.857142857142857	8	8	8	1	9	10	10	0.9	8	8	8	1
10148	0	14	14	14	1	9	11	11	0.818181818181818	9	9	9	1	7	10	10	0.7	6	7	7	0.857142857142857	11	12	12	0.916666666666667
10221	1	11	11	11	1	12	12	12	1	11	11	11	1	10	10	10	1	7	7	7	1	7	7	7	1
10398	1	11	11	11	1	6	6	6	1	14	14	14	1	11	12	12	0.916666666666667	8	8	8	1	4	6	6	0.666666666666667
10603	0	10	10	10	1	9	10	10	0.9	13	13	13	1	10	12	12	0.833333333333333	12	13	13	0.923076923076923	7	8	8	0.875
10613	1	8	10	10	0.8	11	12	12	0.916666666666667	12	12	12	1	12	13	13	0.923076923076923	5	5	5	1	4	4	4	1
11234	0	10	10	10	1	7	9	9	0.777777777777778	11	12	12	0.916666666666667	16	16	16	1	7	7	7	1	10	11	11	0.909090909090909
11781	1	14	14	14	1	11	12	12	0.916666666666667	11	12	12	0.916666666666667	8	9	9	0.888888888888889	10	11	11	0.909090909090909	13	13	13	1
11912	1	9	9	9	1	8	9	9	0.888888888888889	9	9	9	1	3	6	6	0.5	11	13	13	0.846153846153846	12	13	13	0.923076923076923
12067	1	6	7	7	0.857142857142857	8	8	8	1	6	6	6	1	11	11	11	1	8	9	9	0.888888888888889	4	6	6	0.666666666666667
12093	0	11	12	12	0.916666666666667	8	8	8	1	11	11	11	1	7	8	8	0.875	7	7	7	1	6	6	6	1
12342	1	11	11	11	1	8	9	9	0.888888888888889	6	7	7	0.857142857142857	9	11	11	0.818181818181818	8	8	8	1	9	9	9	1
12371	0	12	14	14	0.857142857142857	6	7	7	0.857142857142857	8	9	9	0.888888888888889	15	15	15	1	14	14	14	1	11	11	11	1
12759	1	10	11	11	0.909090909090909	7	9	9	0.777777777777778	12	15	15	0.8	11	12	12	0.916666666666667	12	13	13	0.923076923076923	6	6	6	1
12807	1	3	6	6	0.5	3	6	6	0.5	6	6	6	1	12	12	12	1	11	11	11	1	8	8	8	1
12830	0	10	11	11	0.909090909090909	4	5	5	0.8	9	9	9	1	9	10	10	0.9	10	11	11	0.909090909090909	16	18	18	0.888888888888889
12837	0	8	8	8	1	10	10	10	1	6	6	6	1	7	8	8	0.875	7	7	7	1	8	9	9	0.888888888888889
12977	0	7	7	7	1	10	10	10	1	11	11	11	1	8	9	9	0.888888888888889	8	9	9	0.888888888888889	9	9	9	1
12983	1	11	12	12	0.916666666666667	10	11	11	0.909090909090909	5	5	5	1	9	11	11	0.818181818181818	13	13	13	1	9	10	10	0.9
13686	0	9	9	9	1	8	8	8	1	9	10	10	0.9	8	8	8	1	10	11	11	0.909090909090909	11	11	11	1
14018	1	10	10	10	1	9	11	11	0.818181818181818	12	14	14	0.857142857142857	10	17	17	0.588235294117647	13	13	13	1	9	9	9	1
14503	0	3	3	3	1	7	9	9	0.777777777777778	11	11	11	1	5	6	6	0.833333333333333	9	10	10	0.9	7	7	7	1
14549	1	6	7	7	0.857142857142857	3	3	3	1	8	8	8	1	6	6	6	1	4	6	6	0.666666666666667	5	5	5	1
14703	0	18	19	19	0.947368421052632	9	10	10	0.9	7	7	7	1	10	11	11	0.909090909090909	12	12	12	1	7	7	7	1
14812	1	13	13	13	1	7	7	7	1	18	18	18	1	7	8	8	0.875	7	9	9	0.777777777777778	10	10	10	1
14846	1	8	8	8	1	5	5	5	1	7	7	7	1	5	5	5	1	9	9	9	1	12	13	13	0.923076923076923
14870	0	8	8	8	1	9	10	10	0.9	21	22	22	0.954545454545455	10	10	10	1	9	9	9	1	9	10	10	0.9
14908	0	7	8	8	0.875	5	6	6	0.833333333333333	7	7	7	1	12	13	13	0.923076923076923	8	10	10	0.8	7	8	8	0.875
15002	1	9	9	9	1	11	11	11	1	7	7	7	1	11	11	11	1	12	12	12	1	9	10	10	0.9
15029	0	6	6	6	1	10	10	10	1	9	11	11	0.818181818181818	6	6	6	1	7	8	8	0.875	11	12	12	0.916666666666667
15033	1	7	7	7	1	8	8	8	1	14	14	14	1	9	9	9	1	11	13	13	0.846153846153846	10	10	10	1
15054	0	5	10	10	0.5	12	13	13	0.923076923076923	7	7	7	1	10	10	10	1	10	13	13	0.769230769230769	12	14	14	0.857142857142857
15204	0	16	16	16	1	10	10	10	1	9	10	10	0.9	9	9	9	1	7	7	7	1	3	4	4	0.75
15209	1	10	11	11	0.909090909090909	9	9	9	1	6	9	9	0.666666666666667	6	6	6	1	9	9	9	1	5	5	5	1
15217	1	6	6	6	1	7	8	8	0.875	6	6	6	1	8	8	8	1	14	14	14	1	7	7	7	1
15319	1	4	6	6	0.666666666666667	7	7	7	1	8	8	8	1	13	14	14	0.928571428571429	8	8	8	1	8	8	8	1
15492	1	8	9	9	0.888888888888889	15	16	16	0.9375	13	15	15	0.866666666666667	11	11	11	1	12	13	13	0.923076923076923	6	6	6	1
15538	0	5	6	6	0.833333333333333	18	18	18	1	5	6	6	0.833333333333333	10	11	11	0.909090909090909	7	8	8	0.875	8	9	9	0.888888888888889
15539	0	11	12	12	0.916666666666667	4	5	5	0.8	4	4	4	1	10	10	10	1	8	8	8	1	10	11	11	0.909090909090909
15949	0	4	6	6	0.666666666666667	11	12	12	0.916666666666667	6	6	6	1	7	8	8	0.875	12	14	14	0.857142857142857	13	16	16	0.8125
16593	0	10	10	10	1	7	7	7	1	6	7	7	0.857142857142857	9	9	9	1	15	18	18	0.833333333333333	10	10	10	1
16721	0	12	12	12	1	9	12	12	0.75	10	11	11	0.909090909090909	9	10	10	0.9	9	9	9	1	9	9	9	1
16951	0	8	8	8	1	10	11	11	0.909090909090909	14	14	14	1	6	7	7	0.857142857142857	10	10	10	1	5	6	6	0.833333333333333
16982	0	10	11	11	0.909090909090909	8	9	9	0.888888888888889	9	13	13	0.692307692307692	8	9	9	0.888888888888889	8	10	10	0.8	6	6	6	1
17002	0	11	12	12	0.916666666666667	9	11	11	0.818181818181818	6	6	6	1	9	9	9	1	8	9	9	0.888888888888889	9	9	9	1
17007	0	12	13	13	0.923076923076923	12	12	12	1	10	11	11	0.909090909090909	8	10	10	0.8	7	8	8	0.875	13	15	15	0.866666666666667
17562	0	6	9	9	0.666666666666667	9	9	9	1	14	15	15	0.933333333333333	7	8	8	0.875	9	10	10	0.9	8	9	9	0.888888888888889
17729	1	15	17	17	0.882352941176471	7	7	7	1	10	10	10	1	10	10	10	1	7	8	8	0.875	9	9	9	1
17946	1	6	6	6	1	11	11	11	1	6	7	7	0.857142857142857	8	9	9	0.888888888888889	11	12	12	0.916666666666667	5	5	5	1
18496	0	5	5	5	1	14	14	14	1	7	7	7	1	9	10	10	0.9	14	15	15	0.933333333333333	7	8	8	0.875
18507	0	7	7	7	1	11	14	14	0.785714285714286	7	7	7	1	6	6	6	1	9	10	10	0.9	11	12	12	0.916666666666667
18522	0	9	9	9	1	10	11	11	0.909090909090909	5	5	5	1	8	8	8	1	9	10	10	0.9	17	17	17	1
18536	0	6	7	7	0.857142857142857	13	13	13	1	9	10	10	0.9	10	10	10	1	5	6	6	0.833333333333333	10	10	10	1
18552	0	14	15	15	0.933333333333333	13	13	13	1	11	12	12	0.916666666666667	10	13	13	0.769230769230769	8	9	9	0.888888888888889	12	13	13	0.923076923076923
18554	1	9	11	11	0.818181818181818	4	4	4	1	8	8	8	1	6	7	7	0.857142857142857	4	4	4	1	12	12	12	1
18682	0	12	12	12	1	10	11	11	0.909090909090909	9	10	10	0.9	6	6	6	1	12	13	13	0.923076923076923	11	12	12	0.916666666666667
18845	1	12	12	12	1	14	14	14	1	9	9	9	1	12	12	12	1	7	10	10	0.7	9	9	9	1
18851	0	10	11	11	0.909090909090909	8	8	8	1	19	21	21	0.904761904761905	6	6	6	1	7	7	7	1	12	12	12	1
18852	0	8	9	9	0.888888888888889	6	9	9	0.666666666666667	11	12	12	0.916666666666667	10	10	10	1	7	7	7	1	11	11	11	1
18871	1	5	6	6	0.833333333333333	10	10	10	1	8	8	8	1	10	10	10	1	14	14	14	1	6	7	7	0.857142857142857
18878	0	5	7	7	0.714285714285714	12	13	13	0.923076923076923	11	11	11	1	9	11	11	0.818181818181818	6	6	6	1	8	8	8	1
18881	0	12	12	12	1	10	13	13	0.769230769230769	16	16	16	1	9	9	9	1	2	2	2	1	4	4	4	1
18902	1	11	11	11	1	10	10	10	1	10	10	10	1	5	6	6	0.833333333333333	10	11	11	0.909090909090909	9	9	9	1
19055	1	8	8	8	1	8	8	8	1	7	8	8	0.875	11	11	11	1	9	9	9	1	12	12	12	1
19111	1	9	9	9	1	8	8	8	1	7	7	7	1	8	9	9	0.888888888888889	10	10	10	1	7	8	8	0.875
19545	0	6	6	6	1	8	9	9	0.888888888888889	12	12	12	1	6	6	6	1	9	9	9	1	7	7	7	1
19946	1	7	8	8	0.875	10	12	12	0.833333333333333	13	13	13	1	13	13	13	1	11	12	12	0.916666666666667	8	8	8	1
19953	0	4	4	4	1	8	8	8	1	8	9	9	0.888888888888889	14	15	15	0.933333333333333	11	11	11	1	6	7	7	0.857142857142857
20106	1	12	12	12	1	9	10	10	0.9	8	8	8	1	10	11	11	0.909090909090909	15	15	15	1	8	8	8	1
20727	0	10	10	10	1	13	14	14	0.928571428571429	13	14	14	0.928571428571429	8	10	10	0.8	7	10	10	0.7	8	9	9	0.888888888888889
21105	0	18	19	19	0.947368421052632	3	4	4	0.75	11	12	12	0.916666666666667	5	6	6	0.833333333333333	7	7	7	1	12	12	12	1
21314	1	16	16	16	1	10	12	12	0.833333333333333	12	12	12	1	14	16	16	0.875	8	9	9	0.888888888888889	11	11	11	1
21320	0	10	11	11	0.909090909090909	9	9	9	1	7	8	8	0.875	7	7	7	1	7	7	7	1	8	9	9	0.888888888888889
21458	1	12	12	12	1	6	6	6	1	3	3	3	1	8	9	9	0.888888888888889	3	4	4	0.75	9	10	10	0.9
21513	0	11	14	14	0.785714285714286	12	12	12	1	13	13	13	1	9	9	9	1	11	11	11	1	9	9	9	1
22816	0	8	9	9	0.888888888888889	7	8	8	0.875	6	6	6	1	6	6	6	1	9	10	10	0.9	10	11	11	0.909090909090909
22848	0	16	17	17	0.941176470588235	10	12	12	0.833333333333333	10	11	11	0.909090909090909	13	13	13	1	8	9	9	0.888888888888889	9	9	9	1
23042	1	12	12	12	1	11	11	11	1	10	11	11	0.909090909090909	4	6	6	0.666666666666667	10	11	11	0.909090909090909	12	13	13	0.923076923076923
24108	1	10	10	10	1	7	7	7	1	7	7	7	1	6	6	6	1	10	10	10	1	14	14	14	1
24182	1	12	12	12	1	14	14	14	1	8	8	8	1	6	9	9	0.666666666666667	7	7	7	1	5	5	5	1
24474	0	8	8	8	1	6	6	6	1	8	9	9	0.888888888888889	10	10	10	1	10	10	10	1	11	11	11	1
25087	1	7	8	8	0.875	4	5	5	0.8	6	6	6	1	10	10	10	1	14	15	15	0.933333333333333	11	12	12	0.916666666666667
25272	1	10	12	12	0.833333333333333	5	10	10	0.5	9	9	9	1	11	11	11	1	5	7	7	0.714285714285714	10	10	10	1
26362	1	7	9	9	0.777777777777778	6	7	7	0.857142857142857	8	10	10	0.8	11	11	11	1	9	9	9	1	10	12	12	0.833333333333333
26384	1	11	12	12	0.916666666666667	3	4	4	0.75	11	11	11	1	10	10	10	1	11	11	11	1	13	14	14	0.928571428571429
26400	0	8	8	8	1	10	10	10	1	9	10	10	0.9	8	9	9	0.888888888888889	12	12	12	1	10	11	11	0.909090909090909
26557	1	4	5	5	0.8	7	8	8	0.875	7	7	7	1	9	9	9	1	14	14	14	1	8	9	9	0.888888888888889
26654	0	15	15	15	1	12	12	12	1	9	10	10	0.9	8	8	8	1	9	11	11	0.818181818181818	8	9	9	0.888888888888889
27059	0	3	3	3	1	9	9	9	1	9	12	12	0.75	11	13	13	0.846153846153846	18	19	19	0.947368421052632	7	8	8	0.875
27319	1	6	6	6	1	9	9	9	1	8	8	8	1	5	6	6	0.833333333333333	12	12	12	1	7	8	8	0.875
27710	0	5	7	7	0.714285714285714	9	10	10	0.9	14	14	14	1	8	9	9	0.888888888888889	13	14	14	0.928571428571429	12	13	13	0.923076923076923
28083	1	12	12	12	1	10	11	11	0.909090909090909	8	8	8	1	8	8	8	1	7	8	8	0.875	12	12	12	1
28291	1	7	8	8	0.875	5	6	6	0.833333333333333	4	5	5	0.8	12	13	13	0.923076923076923	7	9	9	0.777777777777778	8	9	9	0.888888888888889
28432	1	6	6	6	1	13	15	15	0.866666666666667	10	10	10	1	12	12	12	1	11	12	12	0.916666666666667	6	6	6	1
28526	0	4	4	4	1	6	6	6	1	9	9	9	1	2	3	3	0.666666666666667	9	10	10	0.9	7	7	7	1
28598	1	9	10	10	0.9	4	5	5	0.8	11	11	11	1	8	10	10	0.8	11	11	11	1	10	10	10	1
28759	1	9	10	10	0.9	9	9	9	1	11	12	12	0.916666666666667	8	8	8	1	11	11	11	1	9	10	10	0.9
29374	0	10	12	12	0.833333333333333	13	15	15	0.866666666666667	16	16	16	1	7	9	9	0.777777777777778	5	6	6	0.833333333333333	12	13	13	0.923076923076923
29464	0	7	7	7	1	9	9	9	1	7	8	8	0.875	3	5	5	0.6	9	10	10	0.9	9	10	10	0.9
29903	0	7	8	8	0.875	8	9	9	0.888888888888889	5	6	6	0.833333333333333	9	9	9	1	10	10	10	1	6	9	9	0.666666666666667
29947	1	6	8	8	0.75	8	8	8	1	11	12	12	0.916666666666667	8	8	8	1	9	9	9	1	7	7	7	1
30249	1	7	8	8	0.875	8	11	11	0.727272727272727	12	13	13	0.923076923076923	13	15	15	0.866666666666667	13	13	13	1	8	10	10	0.8
30313	1	7	9	9	0.777777777777778	9	10	10	0.9	4	7	7	0.571428571428571	9	10	10	0.9	6	7	7	0.857142857142857	10	10	10	1
30321	1	6	8	8	0.75	9	9	9	1	6	6	6	1	9	9	9	1	13	14	14	0.928571428571429	5	5	5	1
30323	0	9	9	9	1	14	16	16	0.875	10	10	10	1	10	11	11	0.909090909090909	3	3	3	1	10	11	11	0.909090909090909
30337	0	9	11	11	0.818181818181818	8	10	10	0.8	11	11	11	1	8	8	8	1	4	7	7	0.571428571428571	7	8	8	0.875
30522	0	13	13	13	1	13	13	13	1	6	7	7	0.857142857142857	10	13	13	0.769230769230769	10	10	10	1	8	9	9	0.888888888888889
30730	0	8	8	8	1	8	9	9	0.888888888888889	8	10	10	0.8	10	10	10	1	10	10	10	1	8	8	8	1
30747	0	8	10	10	0.8	7	8	8	0.875	8	8	8	1	10	10	10	1	8	9	9	0.888888888888889	8	8	8	1
31037	0	8	10	10	0.8	10	12	12	0.833333333333333	11	12	12	0.916666666666667	9	9	9	1	12	13	13	0.923076923076923	6	7	7	0.857142857142857
31113	0	11	11	11	1	12	13	13	0.923076923076923	5	6	6	0.833333333333333	11	11	11	1	6	7	7	0.857142857142857	8	8	8	1
31151	0	6	6	6	1	8	10	10	0.8	13	16	16	0.8125	11	12	12	0.916666666666667	10	12	12	0.833333333333333	11	11	11	1
31198	0	16	17	17	0.941176470588235	11	12	12	0.916666666666667	9	11	11	0.818181818181818	12	13	13	0.923076923076923	9	10	10	0.9	8	9	9	0.888888888888889
31802	0	7	8	8	0.875	10	10	10	1	6	8	8	0.75	9	9	9	1	7	7	7	1	15	16	16	0.9375
32175	0	11	12	12	0.916666666666667	6	6	6	1	8	9	9	0.888888888888889	11	11	11	1	5	5	5	1	11	11	11	1
32479	0	9	11	11	0.818181818181818	8	9	9	0.888888888888889	10	10	10	1	10	11	11	0.909090909090909	10	10	10	1	13	13	13	1
32482	0	14	14	14	1	8	8	8	1	7	7	7	1	8	8	8	1	11	12	12	0.916666666666667	10	12	12	0.833333333333333
32854	0	7	9	9	0.777777777777778	14	14	14	1	9	11	11	0.818181818181818	7	8	8	0.875	8	8	8	1	15	15	15	1
32857	0	9	9	9	1	5	6	6	0.833333333333333	8	9	9	0.888888888888889	11	14	14	0.785714285714286	12	14	14	0.857142857142857	10	11	11	0.909090909090909
32891	0	12	14	14	0.857142857142857	5	5	5	1	12	12	12	1	15	15	15	1	5	5	5	1	12	12	12	1
32896	1	9	9	9	1	9	9	9	1	8	8	8	1	8	10	10	0.8	10	10	10	1	14	17	17	0.823529411764706
33017	0	5	6	6	0.833333333333333	10	11	11	0.909090909090909	8	8	8	1	6	6	6	1	15	15	15	1	11	11	11	1
33019	1	10	11	11	0.909090909090909	10	10	10	1	5	5	5	1	4	5	5	0.8	14	15	15	0.933333333333333	6	7	7	0.857142857142857
33024	0	6	9	9	0.666666666666667	7	7	7	1	13	13	13	1	11	11	11	1	9	10	10	0.9	10	11	11	0.909090909090909
33047	1	11	13	13	0.846153846153846	11	13	13	0.846153846153846	4	5	5	0.8	9	9	9	1	10	11	11	0.909090909090909	12	13	13	0.923076923076923
33228	0	7	7	7	1	11	12	12	0.916666666666667	9	10	10	0.9	11	13	13	0.846153846153846	12	12	12	1	8	8	8	1
33477	0	7	7	7	1	6	7	7	0.857142857142857	10	12	12	0.833333333333333	15	15	15	1	14	14	14	1	7	8	8	0.875
33493	1	12	13	13	0.923076923076923	13	16	16	0.8125	7	8	8	0.875	8	9	9	0.888888888888889	14	15	15	0.933333333333333	6	7	7	0.857142857142857
33496	0	11	11	11	1	7	7	7	1	8	8	8	1	6	8	8	0.75	8	8	8	1	5	7	7	0.714285714285714
33505	1	12	12	12	1	3	3	3	1	8	8	8	1	12	12	12	1	4	6	6	0.666666666666667	12	12	12	1
33523	0	11	11	11	1	8	9	9	0.888888888888889	8	9	9	0.888888888888889	6	7	7	0.857142857142857	6	7	7	0.857142857142857	9	9	9	1
33526	1	8	11	11	0.727272727272727	8	9	9	0.888888888888889	5	6	6	0.833333333333333	7	8	8	0.875	8	8	8	1	10	12	12	0.833333333333333
33534	1	10	11	11	0.909090909090909	8	10	10	0.8	7	8	8	0.875	7	8	8	0.875	8	11	11	0.727272727272727	11	11	11	1
33541	0	8	8	8	1	10	12	12	0.833333333333333	16	16	16	1	8	8	8	1	10	10	10	1	8	9	9	0.888888888888889
33546	0	5	6	6	0.833333333333333	13	14	14	0.928571428571429	12	12	12	1	12	12	12	1	16	16	16	1	9	9	9	1
33797	0	13	13	13	1	8	8	8	1	7	7	7	1	10	10	10	1	12	14	14	0.857142857142857	12	12	12	1
34115	0	7	7	7	1	5	5	5	1	9	9	9	1	5	5	5	1	2	3	3	0.666666666666667	10	13	13	0.769230769230769
34195	0	11	13	13	0.846153846153846	10	11	11	0.909090909090909	8	9	9	0.888888888888889	7	8	8	0.875	8	8	8	1	9	9	9	1
34225	1	10	10	10	1	10	10	10	1	11	11	11	1	9	9	9	1	7	9	9	0.777777777777778	8	10	10	0.8
